"CASE_ENQUIRY_ID","open_dt","TARGET_DT","closed_dt","OnTime","CASE_STATUS","CLOSURE_REASON","CASE_TITLE","SUBJECT","REASON","TYPE","QUEUE","Department","SubmittedPhoto","ClosedPhoto","Location","Fire_district","pwd_district","city_council_district","police_district","neighborhood","neighborhood_services_district","ward","precinct","LOCATION_STREET_NAME","LOCATION_ZIPCODE","Latitude","Longitude","Source"
101000370288,"2012-01-04 08:02:44","","2012-02-09 08:43:50","ONTIME","Closed","Case Closed Case Resolved An operations crew investigated the location on January 4th and found no loose covers.  ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Cooper St & N Washington St  Boston  MA  ",3,"1B",1,"A1","Downtown / Financial District",3,"Ward 3","0304","INTERSECTION Cooper St & N Washington St",NA,42.3644,-71.0582,"Constituent Call"
101000373098,"2012-01-11 10:34:13","","2012-07-03 12:19:11","ONTIME","Closed","Case Closed Case Referred to External Agency NStar jurisdiction.  Details forwarded. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","INFO_Reallocation From Dept","INFO","","","21 School St  Boston  MA  02108",3,"1C",1,"A1","Downtown / Financial District",3,"Ward 3","0306","21 School St",2108,42.3577,-71.0589,"Constituent Call"
101000376337,"2012-01-21 15:50:18","","2012-01-23 08:59:44","ONTIME","Closed","Case Closed Case Resolved Crew checked area did not find cover off 1/21. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Arlington St & Beacon St  Boston  MA  ",4,"1C",8,"D4","Back Bay",14,"Ward 5","0505","INTERSECTION Arlington St & Beacon St",NA,42.3554,-71.0726,"Constituent Call"
101000376342,"2012-01-21 15:54:04","","2012-01-23 08:57:21","ONTIME","Closed","Case Closed Case Resolved Crew checked area found no cover off 1/21/12 ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Arlington St & Beacon St  Boston  MA  ",4,"1C",8,"D4","Back Bay",14,"Ward 5","0505","INTERSECTION Arlington St & Beacon St",NA,42.3554,-71.0726,"Constituent Call"
101000376797,"2012-01-23 11:56:40","","2012-01-24 11:56:55","ONTIME","Closed","Case Closed Case Noted ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","INFO_Reallocation From Dept","INFO","","","INTERSECTION of Centre St & Eliot St  Jamaica Plain  MA  ",9,"02",6,"E13","Jamaica Plain",11,"Ward 19","1909","INTERSECTION Centre St & Eliot St",NA,42.3097,-71.1155,"Constituent Call"
101000377504,"2012-01-25 11:45:14","","2012-01-25 14:11:00","ONTIME","Closed","Case Closed Case Resolved completed 01/25/12 ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","PWDx_Street Light_General Lighting Request","PWDx","","","INTERSECTION of Geneva Ave & Westville St  Dorchester  MA  ",7,"03",4,"C11","Dorchester",8,"Ward 15","1505","INTERSECTION Geneva Ave & Westville St",NA,42.301,-71.0674,"Constituent Call"
101000378396,"2012-01-27 14:23:26","","2012-02-09 09:19:17","ONTIME","Closed","Case Closed Case Resolved An operations crew investigated the location on January 27th and determined it to be a loose electrical cover.  ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","297 Wachusett St  Jamaica Plain  MA  02130",12,"02",6,"E13","Jamaica Plain",10,"Ward 19","1912","297 Wachusett St",2130,42.2891,-71.117,"Constituent Call"
101000379221,"2012-01-30 18:01:32","","2012-01-31 15:41:46","ONTIME","Closed","Case Closed Case Resolved Crew sealed cover 1/30. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Florence St & Sherwood St  Roslindale  MA  ",12,"02",5,"E5","Roslindale",10,"Ward 19","1913","INTERSECTION Florence St & Sherwood St",NA,42.2864,-71.1204,"Constituent Call"
101000379358,"2012-01-31 10:10:59","","2012-01-31 15:44:58","ONTIME","Closed","Case Closed Case Resolved Crew found line stopped on arrival  jetted line 150? and freed line 1/31. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","70-80 Talbot Ave  Dorchester  MA  02124",8,"03",4,"B3","Greater Mattapan",8,"Ward 14","1407","70-80 Talbot Ave",2124,42.294,-71.0837,"Constituent Call"
101000386304,"2012-02-21 10:09:38","","2012-02-23 14:50:42","ONTIME","Closed","Case Closed Case Resolved An operations crew investigated on 2/21 and found no open cover. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Warren Ave & Constitution Rd  Charlestown  MA  ",3,"1A",1,"A15","Charlestown",2,"Ward 2","0201","INTERSECTION Warren Ave & Constitution Rd",NA,42.3712,-71.0604,"Constituent Call"
101000387897,"2012-02-24 12:31:45","","2012-04-25 09:09:56","ONTIME","Closed","Case Closed Case Resolved This is a gas cover sticking up. Notified Mayor?s Office (Justin) 2/24/12. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","INTERSECTION of Chelsea St & Constitution Rd  Charlestown  MA  ",3,"1A",1,"A15","Charlestown",2,"Ward 2","0202","INTERSECTION Chelsea St & Constitution Rd",NA,42.3737,-71.0583,"Constituent Call"
101000393080,"2012-03-09 19:53:35","","2012-03-14 09:22:18","ONTIME","Closed","Case Closed Case Resolved A BWSC crew sealed and patched around the manhole on 3/9/12. ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","BWSC_All Cases","BWSC","","","230 Parsons St  Brighton  MA  02135",11,"04",9,"D14","Allston / Brighton",15,"Ward 22","2211","230 Parsons St",2135,42.357,-71.1576,"Constituent Call"
101000396880,"2012-03-19 10:08:39","","2012-03-23 09:36:09","ONTIME","Closed","Case Closed Case Resolved As of 3-22-2012 the CIU inspector states that all the castings in the area of 73 Chelsea st  Charleston are  to street grade with no covers missing.    Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office  617-438-8517 Cell     ","Sidewalk Cover / Manhole","Boston Water & Sewer Commission","Sidewalk Cover / Manhole","Sidewalk Cover / Manhole","PWDx_Contractor Complaints","PWDx","","","73 Chelsea St  Charlestown  MA  02129",3,"1A",1,"A15","Charlestown",2,"02","0201","73 Chelsea St",2129,42.3733,-71.0585,"Constituent Call"
